age,Other,Maori,Pacific,Asian
0-4,108651,84267,28518,63525
5-9,128754,84420,29436,70608
10-14,149913,88335,32451,69318
15-19,162921,88248,33096,59895
20-24,149511,72885,33216,57714
25-29,148944,67365,33159,80295
30-34,175812,66270,31572,113217
35-39,181602,58311,26589,118620
40-44,170607,48162,22473,100452
45-49,171600,45744,20436,68457
50-54,201582,48375,18975,49056
55-59,206430,44133,17676,37155
60-64,213942,40929,14739,32454
65-69,201165,31494,11100,28416
70-74,174504,20931,7935,21894
75-79,154206,12759,5331,13383
80-84,100269,6429,2907,7113
85-89,56679,2997,1338,4074
90-94,23421,837,411,1467
95+,7302,192,102,351
